
XX_CONTEXTE_SAISIE_XX
Annee_universitaire;2018/2019
Type_objet;OBJ
Code_objet;1OBJEH1
Libelle_objet;UE Histoire
Session;1
Admission_Admissibilite;Admission
Code_collection;
Code_groupe;
Type_resultat_Web;N
Date_debut_saisie_Web;15/01/2018
Date_fin_saisie_Web;15/06/2019
Date_heure_extraction;06/03/2019 à 14:00
Utilisateur_extraction;Utilisateur
Bareme_saisie_note;100
Bareme_modifiable;1

XX_FILTRE_POPULATION_XX
Regime_inscription; 
Profil; 
Programme_international; 
Formule_examen; 
Sportif_haut_niveau;0
Confirmation_IE_Web;
Code_etape;
Version_etape;
Element_pedagogique; 
Code_collection;
Code_groupe; 
Code_etudiant;

XX_TYPE_RESULTATS_XX
ABI : Absence injustifiée;ABJ : Absence justifiée;ADM : Admis;DEF : Défaillant;DIS : Dispense d'examen;. : .;RES : Réservé;_ : _;RETR : Rétrogradé;ADCD : Attente décision section disciplinaire;ATST : Attente validation de stage;ATT : Attente résultats;VAL : Validé;NVAL : Non Validé;NACD : Note annulée par décision de commission;EXC : Exclu

XX_ETUDIANTS_XX
Code_etudiant;Nom_patronymique;Prenom;Type_resultat_attendu;Note;Bareme;Note_reportee
20190001;LASTNAME_1;FIRSTNAME_1;N;;;0
20190002;LASTNAME_2;FIRSTNAME_2;N;;;0
20190003;LASTNAME_3;FIRSTNAME_3;N;;;0
20190004;LASTNAME_4;FIRSTNAME_4;N;;;0
20190005;LASTNAME_5;FIRSTNAME_5;N;;;0
20190006;LASTNAME_6;FIRSTNAME_6;N;;;0
20190007;LASTNAME_7;FIRSTNAME_7;N;;;0
20190008;LASTNAME_8;FIRSTNAME_8;N;;;0
20190009;LASTNAME_9;FIRSTNAME_9;N;;;0
